epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,1862.31,0.53551,0.34877,0.85714,0.93083,0.68,0.8125,0.43187,1.79287,1.0705,1.75124,0.00070102,0.00070102,0.00070102
153,1876.13,0.55026,0.35963,0.86795,0.89471,0.72,0.78551,0.43089,1.80199,1.11191,1.76223,0.00069904,0.00069904,0.00069904
154,1889.61,0.58555,0.37541,0.89735,0.89437,0.72,0.809,0.43617,1.74878,1.03897,1.71874,0.00069706,0.00069706,0.00069706
155,1902.87,0.5206,0.35129,0.85334,0.82593,0.8,0.78924,0.40423,1.75486,0.92675,1.71302,0.00069508,0.00069508,0.00069508
156,1916.14,0.58677,0.37469,0.89177,0.89962,0.72,0.78534,0.40295,1.72464,0.79985,1.70094,0.0006931,0.0006931,0.0006931
157,1928.54,0.58547,0.37042,0.88198,0.97944,0.72,0.85188,0.44254,1.67187,0.75346,1.68745,0.00069112,0.00069112,0.00069112
158,1940.6,0.54961,0.34691,0.85762,0.97773,0.72,0.86676,0.48003,1.672,0.73151,1.68192,0.00068914,0.00068914,0.00068914
159,1953.7,0.49708,0.32095,0.85231,0.79828,0.79177,0.82622,0.45331,1.68104,0.76578,1.68702,0.00068716,0.00068716,0.00068716
160,1963.78,0.53343,0.33057,0.8569,0.9002,0.68,0.78947,0.46021,1.66048,0.80013,1.70974,0.00068518,0.00068518,0.00068518
161,1976.2,0.55085,0.35363,0.87243,0.90886,0.79787,0.84503,0.45926,1.66277,0.7919,1.71838,0.0006832,0.0006832,0.0006832
162,1990.12,0.52847,0.34411,0.86379,0.86165,0.8,0.86723,0.46091,1.67541,0.76463,1.7204,0.00068122,0.00068122,0.00068122
163,2002.78,0.53222,0.35024,0.85884,0.99832,0.72,0.87044,0.45054,1.71709,0.75278,1.77621,0.00067924,0.00067924,0.00067924
164,2014.87,0.54465,0.33169,0.87382,1,0.71169,0.85891,0.4451,1.73448,0.75148,1.79679,0.00067726,0.00067726,0.00067726
165,2026.81,0.49711,0.31985,0.85231,1,0.71007,0.84398,0.44759,1.7243,0.77004,1.76302,0.00067528,0.00067528,0.00067528
166,2039.71,0.57247,0.36496,0.89411,1,0.7066,0.86489,0.45811,1.72647,0.80629,1.74819,0.0006733,0.0006733,0.0006733
167,2052.79,0.56598,0.35607,0.88344,1,0.71514,0.80258,0.44676,1.69442,0.82,1.72431,0.00067132,0.00067132,0.00067132
168,2065.35,0.53859,0.34549,0.87377,0.9857,0.76,0.8382,0.42283,1.73049,0.87386,1.72593,0.00066934,0.00066934,0.00066934
169,2078.07,0.52784,0.3316,0.85304,0.98377,0.76,0.83959,0.42831,1.73178,0.86401,1.69841,0.00066736,0.00066736,0.00066736
